title,description,bedrooms,bathrooms,size,area,type,parking,ownership,completion,developer,furnishing,built_up_area,elevators,number_of_parking,number_of_appartments,balcony_size,category,number_of_floors,amenities,totla_building_area,imgs,plans_2d,plans_3d,signaturea,price
Fully Fitted w/ Glass Partition ! Ready to Move Office ! 02 Parkings,"First Come First Reserve !!!SAPIENT HOMES is pleasure to offering you A Spacious Fully Fitted Office w/ Glass Cabins and inside Pantry at One of the Prime Location of Barsha Heights - TecomProperty Features;* Fully Fitted Office* Glass Partition rooms* Corner Meeting room* Separate Manager room* Separate Director room* Inside Party for Off. Staff* Spacious Reception Area* 02 allocated Car ParkingsOffice Size 1,264 SqftVacant and Ready to Move in. Building Features;-* Gymnasium* Swimming Pool* Steam & Suana* Guest Parking* 06 Lifts for Use* Service Lift* Reception Area* 24/ 7 Security w/ CCTV* Full Facilities are availableSupermarket, Restaurant, Saloons, Nursery, Copier, ETCFor Further Detail OR Viewing;Please Call/ whatsappView Contact Detailwww. sapienthomes. aeThank you for using Sapient Homes Properties !!!DED# 922756, RERA# 25545",,,"1,264",Barsha Heights (Tecom),Office,,,,,Unfurnished,,,,,,,,"Parking Spaces: 2,Centrally Air-Conditioned,Central Heating,Lobby in Building,Elevators in Building: 5,Service Elevators,Completion Year: 2011,Prayer Room,Reception/Waiting Room,Gym or Health Club,Facilities for Disabled,Swimming Pool,Sauna,Steam Room,Waste Disposal,Maintenance Staff,Cleaning Services,Business Center,Security Staff,CCTV Security,Shared Kitchen,Broadband Internet,Freehold",,"https://images.bayut.com/thumbnails/336311519-800x600.jpeg,https://images.bayut.com/thumbnails/336311520-800x600.jpeg,https://images.bayut.com/thumbnails/336311530-800x600.jpeg,https://images.bayut.com/thumbnails/336311519-120x90.jpeg,https://images.bayut.com/thumbnails/336311520-120x90.jpeg,https://images.bayut.com/thumbnails/336311521-120x90.jpeg,https://images.bayut.com/thumbnails/336311522-120x90.jpeg,https://images.bayut.com/thumbnails/336311523-120x90.jpeg,https://images.bayut.com/thumbnails/336311528-120x90.jpeg,https://images.bayut.com/thumbnails/336311524-120x90.jpeg,https://images.bayut.com/thumbnails/336311525-120x90.jpeg,https://images.bayut.com/thumbnails/336311526-120x90.jpeg,https://images.bayut.com/thumbnails/336311527-120x90.jpeg,https://images.bayut.com/thumbnails/336311529-120x90.jpeg,https://images.bayut.com/thumbnails/336311530-120x90.jpeg,https://images.bayut.com/thumbnails/107476072-240x180.jpeg",,,1675262621267,"990,000"
Vacant I Canal View I Furnished I Fitted I Spacious,"Concrete House Real Estate Present to you this Amazing Fitted & Furnished Office in Citadel Tower Property Details Area 1096 SQFTFitted To 5 Rooms Furnished 2 Parking Space Full Canal View Price 1,100,000 AED Net To Owner 4% DLD + Admin Fee2% Agency Fee Lobby in BuildingService ElevatorsReception/Waiting RoomSecurity StaffCCTV SecuritySatellite/Cable TVIntercomDouble Glazed WindowsCentrally Air-ConditionedCentral HeatingFurnishedConcrete house real estate (CHR) was founded in 2021 with an initiative to help. Where sellers and buyers can meet. Hassle free communications and transactions are processed. The CHR team is run by professional leaders. They have quite years of experience and specialize in buying, selling and consulting. Their skills in marketing and management give them an edge on the competition. Why choose our concrete house real estate? CHR delivers a variety of services with an emphasis on trust. We specialize in marketing of homes and shops that truly need it and offers a well-rounded home buying and selling experience in DUBAI including luxury property (commercial and residential). Aside from the chic condo styles, you can view all of the amenities and get an agent that can look into what's available in this location. You can count on us for an importance placed on client confidentiality. OUR BEST SERVICESRent /Sell property (brokerage)Property Supervision & ManagementMarketing of properties on our website and social media channelsProperty gets listed on the top platforms?(ex. BAYUT & DUBBIZLE etc)Variety in properties 1. Residential 2. CommercialCompetitive agents & professional team memberExpert guidanceUnhindered communicationHassle free paperworkFor some interesting and educational reads that will help buyers and sellers feel more at ease with the process. Check out our social media platforms for plenty of information about our team, blog and testimonials. When thinking of buying and selling with us, we talk about digital advertising and how important it is nowadays. CONTACT INFOCONCRETE HOUSE REAL ESTATEOffice 3107,Citadel Tower, Business Bay, Dubaiwww. chr. aeSend e-mailView Contact DetailView Contact DetailDED# 988790, ORN# 28021BRN# 50481",,,"1,096",Business Bay,Office,,,,,Furnished,,,,,,,,"Furnished,Parking Spaces: 2,Centrally Air-Conditioned,Central Heating,Double Glazed Windows,Lobby in Building,Elevators in Building: 8,Service Elevators,Reception/Waiting Room,Total Floors: 41,Security Staff,CCTV Security,Satellite/Cable TV,Intercom",,"https://images.bayut.com/thumbnails/336391513-800x600.jpeg,https://images.bayut.com/thumbnails/336400774-800x600.jpeg,https://images.bayut.com/thumbnails/338044423-800x600.jpeg,https://images.bayut.com/thumbnails/336391513-120x90.jpeg,https://images.bayut.com/thumbnails/336400774-120x90.jpeg,https://images.bayut.com/thumbnails/336400776-120x90.jpeg,https://images.bayut.com/thumbnails/336400778-120x90.jpeg,https://images.bayut.com/thumbnails/336391517-120x90.jpeg,https://images.bayut.com/thumbnails/337814404-120x90.jpeg,https://images.bayut.com/thumbnails/338097411-120x90.jpeg,https://images.bayut.com/thumbnails/336391520-120x90.jpeg,https://images.bayut.com/thumbnails/336391521-120x90.jpeg,https://images.bayut.com/thumbnails/336391522-120x90.jpeg,https://images.bayut.com/thumbnails/337814409-120x90.jpeg,https://images.bayut.com/thumbnails/338044410-120x90.jpeg,https://images.bayut.com/thumbnails/338044411-120x90.jpeg,https://images.bayut.com/thumbnails/338044412-120x90.jpeg,https://images.bayut.com/thumbnails/338044413-120x90.jpeg,https://images.bayut.com/thumbnails/338044414-120x90.jpeg,https://images.bayut.com/thumbnails/338044415-120x90.jpeg,https://images.bayut.com/thumbnails/338044416-120x90.jpeg,https://images.bayut.com/thumbnails/338044417-120x90.jpeg,https://images.bayut.com/thumbnails/338044418-120x90.jpeg,https://images.bayut.com/thumbnails/338044419-120x90.jpeg,https://images.bayut.com/thumbnails/338044420-120x90.jpeg,https://images.bayut.com/thumbnails/338044421-120x90.jpeg,https://images.bayut.com/thumbnails/338044422-120x90.jpeg,https://images.bayut.com/thumbnails/338044423-120x90.jpeg,https://img.youtube.com/vi/BcJA5HBYXZA/sddefault.jpg,https://img.youtube.com/vi/BcJA5HBYXZA/default.jpg,https://images.bayut.com/thumbnails/164728031-240x180.jpeg",,,1675262623124,"1,100,000"
Exclusive | Canal View | Glass Partitions,"AX CAPITAL Real Estate is proud to offer for sale this Office Space in the iconic Empire Heights building located in the heart of Business BayUnit Specifications:- Partially furnished- Canal view- Tenanted- Low floor- Floor-to-ceiling windows- Additional storage space- 3 parking slots- In-office bathroom- In-office kitchenette/storage space- Coffee corner- Reference: AxcView Contact Detail- Agent: Avak Awakian View Contact DetailLocation Benefits :- Downtown Dubai is accessible at an 11-minute drive by car. - Sheikh Zayed Road is accessible at an 18-minute drive away. - City Walk and Jumeirah are a 10-minute drive by car from the community. - It is a 15-minute drive to the Dubai International Airport and 38 minutes to the emirate of Sharjah. - Dubai Marina is located at a 20-minute drive by car. - Palm Jumeirah is accessible at a 21-minute drive away. For more information and viewings info please get in touch with us. AX Capital is a leading full-service real estate company in Dubai, UAE. We assist in searching and securing residential sales, leasing, commercial, and plots with up-to-date knowledge of UAE’s Real Estate market and laws. Alternatively, visit our website https://www. axcapital. ae/ where you will find an extensive selection of properties available for sale and rent. Ask us about:* Off-Plan* Property Management* Interior Design (Ax Design) * Exclusive Off-Plan * Short Term LetRERA# 21635, DED# 813677",,,"2,444",Business Bay,Office,,,,,Furnished,,,,,,,,,,"https://images.bayut.com/thumbnails/315076364-800x600.jpeg,https://images.bayut.com/thumbnails/317960054-800x600.jpeg,https://images.bayut.com/thumbnails/327038409-800x600.jpeg,https://images.bayut.com/thumbnails/315076364-120x90.jpeg,https://images.bayut.com/thumbnails/317960054-120x90.jpeg,https://images.bayut.com/thumbnails/315076983-120x90.jpeg,https://images.bayut.com/thumbnails/315076984-120x90.jpeg,https://images.bayut.com/thumbnails/315076985-120x90.jpeg,https://images.bayut.com/thumbnails/315076986-120x90.jpeg,https://images.bayut.com/thumbnails/316889370-120x90.jpeg,https://images.bayut.com/thumbnails/322459920-120x90.jpeg,https://images.bayut.com/thumbnails/317960066-120x90.jpeg,https://images.bayut.com/thumbnails/315076990-120x90.jpeg,https://images.bayut.com/thumbnails/315076991-120x90.jpeg,https://images.bayut.com/thumbnails/315076992-120x90.jpeg,https://images.bayut.com/thumbnails/315076993-120x90.jpeg,https://images.bayut.com/thumbnails/315076994-120x90.jpeg,https://images.bayut.com/thumbnails/315076995-120x90.jpeg,https://images.bayut.com/thumbnails/315076996-120x90.jpeg,https://images.bayut.com/thumbnails/315076997-120x90.jpeg,https://images.bayut.com/thumbnails/316889381-120x90.jpeg,https://images.bayut.com/thumbnails/315076999-120x90.jpeg,https://images.bayut.com/thumbnails/315077000-120x90.jpeg,https://images.bayut.com/thumbnails/327038409-120x90.jpeg,https://images.bayut.com/thumbnails/79845378-240x180.jpeg",,,1675262625195,"2,500,000"
Close to Metro | Fitted | Rented Unit,"Rocky Real Estate is offering this fitted and close to metro office located in Fortune Executive, Jumeirah Lake Towers. * Built-up size: 1,266.91 square feet* Fitted* With 3 gypsum Partitions* With pantry* With toilet* A/C: Chiller* 1 car parking* Close to metro* Rented until 14th of June 2023* Rented at AED 54,000* Reference number: RO-SView Contact DetailFortune Executive Tower is a commercial skyscraper in Cluster T, Jumeirah Lake Towers. The cluster has two other buildings: One Lake Plaza and the Pullman Hotel. Fortune Executive Tower JLT features 254 office units. The construction of the building on plot T1started in 2005 and was completed in 2010. The estimated height of the building is 143.49 metres. There are 35 floors above ground and four floors below ground. Jumeirah Lake Towers is a centrally located mixed-use area in Dubai. It has four man-made lakes and 78 high-rise towers distributed across 26 clusters. Located between Sheikh Zayed Road and Al Khail Street, the area is well-connected to the rest of the city and offers convenient access to shopping, dining, leisure, education and healthcare facilities. For enquiries and exclusive viewing, call NADEEM RIAZ (BRN # 37867) at View Contact Detail or email us at Send e-mail We are happy to assist you from 9 am to 6 pm (Monday to Friday),from 9 am to 2 pm (Saturday). Rocky Real Estate offers residential and commercial real estate services in Dubai since 1976 | Specializing in sales, leasing, property investments and management | 2017 Top 10 Real Estate Consultants in the Arab World by Forbes Middle East. View more properties at www. rockyrealestate. comDED# 751827, RERA# 16963",,,"1,267",Jumeirah Lake Towers (JLT),Office,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/328073250-800x600.jpeg,https://images.bayut.com/thumbnails/328073251-800x600.jpeg,https://images.bayut.com/thumbnails/328073268-800x600.jpeg,https://images.bayut.com/thumbnails/328073250-120x90.jpeg,https://images.bayut.com/thumbnails/328073251-120x90.jpeg,https://images.bayut.com/thumbnails/328073252-120x90.jpeg,https://images.bayut.com/thumbnails/328073253-120x90.jpeg,https://images.bayut.com/thumbnails/328073254-120x90.jpeg,https://images.bayut.com/thumbnails/328073255-120x90.jpeg,https://images.bayut.com/thumbnails/328073256-120x90.jpeg,https://images.bayut.com/thumbnails/328073257-120x90.jpeg,https://images.bayut.com/thumbnails/328073258-120x90.jpeg,https://images.bayut.com/thumbnails/328073259-120x90.jpeg,https://images.bayut.com/thumbnails/328073260-120x90.jpeg,https://images.bayut.com/thumbnails/328073261-120x90.jpeg,https://images.bayut.com/thumbnails/328073262-120x90.jpeg,https://images.bayut.com/thumbnails/328073263-120x90.jpeg,https://images.bayut.com/thumbnails/328073264-120x90.jpeg,https://images.bayut.com/thumbnails/328073265-120x90.jpeg,https://images.bayut.com/thumbnails/328073266-120x90.jpeg,https://images.bayut.com/thumbnails/328073267-120x90.jpeg,https://images.bayut.com/thumbnails/328073268-120x90.jpeg,https://img.youtube.com/vi/Wm6E89oZy_w/sddefault.jpg,https://img.youtube.com/vi/Wm6E89oZy_w/default.jpg,https://images.bayut.com/thumbnails/27679871-240x180.jpeg",,,1675262627668,"850,000"
Fitted and Partitioned | Close to Metro,"Rocky Real Estate presents this fitted and with partitioned office in Latifa Tower, Sheikh Zayed Road* Built-up size: 1,053.25 square feet* Fitted* With partitioned* A/C: Chiller* On high floor* 1 car parking* Rented unit* Close to metro* Reference Number: RO-SView Contact DetailLatifa Tower is one of the only freehold buildings located along the prestigious Sheikh Zayed Road or between the World Trade Center Interchange and defence roundabout adjacent to the Crown Plaza. It will also inspire a lavish entrepreneurial streak in whoever has the ambition to achieve greatness. It consists of 40 floors and allure all of the spectrums of business looking for personalized office solutions. For enquiries and exclusive viewing, call Salma Siraj (BRN#37866) at View Contact Detail or email us at Send e-mail We are happy to assist you from 9 am to 6 pm (Monday to Friday), 9 am to 2 pm (Saturday). Rocky Real Estate offers residential and commercial real estate services in Dubai since 1976 | Specializing in sales, leasing, property investments and management | 2017 Top 10 Real Estate Consultants in the Arab World by Forbes Middle EastView more properties at www. rockyrealestate. comDED# 751827, RERA# 16963",,,"1,053",Sheikh Zayed Road,Office,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/324106182-800x600.jpeg,https://images.bayut.com/thumbnails/317839608-800x600.jpeg,https://images.bayut.com/thumbnails/317840821-800x600.jpeg,https://images.bayut.com/thumbnails/324106182-120x90.jpeg,https://images.bayut.com/thumbnails/317839608-120x90.jpeg,https://images.bayut.com/thumbnails/322439464-120x90.jpeg,https://images.bayut.com/thumbnails/317840814-120x90.jpeg,https://images.bayut.com/thumbnails/324106189-120x90.jpeg,https://images.bayut.com/thumbnails/317840816-120x90.jpeg,https://images.bayut.com/thumbnails/317840817-120x90.jpeg,https://images.bayut.com/thumbnails/317840818-120x90.jpeg,https://images.bayut.com/thumbnails/317840819-120x90.jpeg,https://images.bayut.com/thumbnails/317840820-120x90.jpeg,https://images.bayut.com/thumbnails/317840821-120x90.jpeg,https://images.bayut.com/thumbnails/27679871-240x180.jpeg",,,1675262629643,"1,650,000"
Fitted Unit | With Partition | Tenanted,"Rocky Real Estate is recommending this fitted and with partitioned office in Latifa Tower, Sheikh Zayed Road. * Build up size: 1,759.25 square feet* Fitted* With partitioned* A/C: Chiller* 3 car parking* Tenanted unit* Reference number: RO-SView Contact DetailLatifa Tower is one of the only freehold buildings located along the prestigious Sheikh Zayed Road or between the World Trade Center Interchange and defence roundabout adjacent to the Crown Plaza. It will also inspire a lavish entrepreneurial streak in whoever has the ambition to achieve greatness. It consists of 40 floors and allure all of the spectrums of business looking for personalized office solutions. For enquiries and exclusive viewing, call Salma Siraj (BRN#37866) at View Contact Detail or email us at Send e-mail We are happy to assist you from 9 am to 6 pm (Monday to Thursday), 9 am to 2 pm (Saturday). Rocky Real Estate offers residential and commercial real estate services in Dubai since 1976 | Specializing in sales, leasing, property investments and management | 2017 Top 10 Real Estate Consultants in the Arab World by Forbes Middle East. View more properties at www. rockyrealestate. com.DED# 751827, RERA# 16963",,,"1,759",Sheikh Zayed Road,Office,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/315891158-800x600.jpeg,https://images.bayut.com/thumbnails/315891159-800x600.jpeg,https://images.bayut.com/thumbnails/322486359-800x600.jpeg,https://images.bayut.com/thumbnails/315891158-120x90.jpeg,https://images.bayut.com/thumbnails/315891159-120x90.jpeg,https://images.bayut.com/thumbnails/315891160-120x90.jpeg,https://images.bayut.com/thumbnails/315909963-120x90.jpeg,https://images.bayut.com/thumbnails/315909964-120x90.jpeg,https://images.bayut.com/thumbnails/315909965-120x90.jpeg,https://images.bayut.com/thumbnails/315909966-120x90.jpeg,https://images.bayut.com/thumbnails/315891167-120x90.jpeg,https://images.bayut.com/thumbnails/315891168-120x90.jpeg,https://images.bayut.com/thumbnails/324148285-120x90.jpeg,https://images.bayut.com/thumbnails/315891645-120x90.jpeg,https://images.bayut.com/thumbnails/315909971-120x90.jpeg,https://images.bayut.com/thumbnails/315909972-120x90.jpeg,https://images.bayut.com/thumbnails/324148292-120x90.jpeg,https://images.bayut.com/thumbnails/315909974-120x90.jpeg,https://images.bayut.com/thumbnails/315909975-120x90.jpeg,https://images.bayut.com/thumbnails/315909978-120x90.jpeg,https://images.bayut.com/thumbnails/315909979-120x90.jpeg,https://images.bayut.com/thumbnails/322486359-120x90.jpeg,https://images.bayut.com/thumbnails/27679871-240x180.jpeg",,,1675262632555,"3,100,000"
Lake View | Panoramic | Tenanted | High Floor,"AQUA PROPERTIES - is proud to offer this Office for sale in Business Tower, Business Bay. It is a fully fitted retail commercial space with a total size of 895 square feet (as per title deed). The unit offers lake views and features a common washroom and pantry area on the floor . Located in Business Bay, the property covers the basic needs of the owners and the tenants with facilities such as high-speed elevators and a state-of-the-art security system. - Fitted retail unit. - BUA: 895 sq. ft. - Tenanted- Lake view. Amenities and facilities:- Amazing view. - High floor. - Health facilities. - Gymnasium. - Multi-level car park- 24/7 security and surveillance camerasBusiness Bay is one of the trendy residential and professional hubs, set amidst the gleaming waters of the Dubai Canal. It is neighbors with Dubai’s quintessential neighborhood, Downtown Dubai. It is a sought-after destination for investors. With a selection of beautiful apartments, hotel apartments and hotels, it has grown into a coveted address in the city eliciting an equal amount of interest from renters, buyers and tourists.DED# 572574, RERA# 303",,,895,Business Bay,Office,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/316953166-800x600.jpeg,https://images.bayut.com/thumbnails/316953167-800x600.jpeg,https://images.bayut.com/thumbnails/316953179-800x600.jpeg,https://images.bayut.com/thumbnails/316953166-120x90.jpeg,https://images.bayut.com/thumbnails/316953167-120x90.jpeg,https://images.bayut.com/thumbnails/316953168-120x90.jpeg,https://images.bayut.com/thumbnails/316953169-120x90.jpeg,https://images.bayut.com/thumbnails/316953170-120x90.jpeg,https://images.bayut.com/thumbnails/316953171-120x90.jpeg,https://images.bayut.com/thumbnails/316953172-120x90.jpeg,https://images.bayut.com/thumbnails/316953173-120x90.jpeg,https://images.bayut.com/thumbnails/316953174-120x90.jpeg,https://images.bayut.com/thumbnails/316953175-120x90.jpeg,https://images.bayut.com/thumbnails/316953176-120x90.jpeg,https://images.bayut.com/thumbnails/316953177-120x90.jpeg,https://images.bayut.com/thumbnails/316953179-120x90.jpeg,https://images.bayut.com/thumbnails/27680899-240x180.jpeg",,,1675262634416,"750,000"
Fully Furnished | Full Canal View | Vacant,"KAYE & CO REAL ESTATE L. L. C. welcomes you to this fully furnished office in Al Manara Tower, Business bay, Dubai. Property details:- Multiple options are available in this building- Fully furnished- 1 Bathroom- Fully fitted- Sparkling Canal view - Allocated 3 Parkings- PantryAmenities and Facilities:- 24 Hour Security- Business Center- Conference Rooms- Health Club- Spacious Lobby- Meeting Halls- High-Speed Elevators- Full CCTV coverage- Front desk servicePlease feel free to contact Asall at View Contact Detail for any additional information. Al Manara Tower has been considered one of the Grade A Commercial Building completed in 2011. It was designed exclusively to reflect both the style and functionality as well as to feature a fully serviced business center, conference, auditorium facility, and a leisure deck. KAYE & CO. is a privately-run real estate firm with more than fifteen years of local industry experience. We are a Downtown focused agency and if you are looking for somebody to guide you in this community, please get in touch with us. PROPERTY FEATURES:  -Basement parking -Central air conditioning -Central heating -Community View -Covered parking -Fully furnished -On mid floor -Private garage -Shared swimming pool -View of sea/water -24 hours Maintenance -Bank/ATM Facility -Business Center -Concierge service -Fitness Center -Metro station -Mosque -Public parking -Public transport -Restaurants -School -Shopping mall -ShopsRERA# 17029, DED# 755060, ORN# 17029BRN# 49642",,,"1,512",Business Bay,Office,,,,,Furnished,,,,,,,,"Furnished,Parking Spaces,Centrally Air-Conditioned,Central Heating,Gym or Health Club,Maintenance Staff,Business Center,ATM Facility,24 Hours Concierge,View",,"https://images.bayut.com/thumbnails/316320634-800x600.jpeg,https://images.bayut.com/thumbnails/324127168-800x600.jpeg,https://images.bayut.com/thumbnails/316320784-800x600.jpeg,https://images.bayut.com/thumbnails/316320634-120x90.jpeg,https://images.bayut.com/thumbnails/324127168-120x90.jpeg,https://images.bayut.com/thumbnails/324127174-120x90.jpeg,https://images.bayut.com/thumbnails/316320628-120x90.jpeg,https://images.bayut.com/thumbnails/316320629-120x90.jpeg,https://images.bayut.com/thumbnails/316320630-120x90.jpeg,https://images.bayut.com/thumbnails/324127189-120x90.jpeg,https://images.bayut.com/thumbnails/316320632-120x90.jpeg,https://images.bayut.com/thumbnails/324127196-120x90.jpeg,https://images.bayut.com/thumbnails/316320784-120x90.jpeg,https://images.bayut.com/thumbnails/27681788-240x180.jpeg",,,1675262636573,"1,990,007"
Full Floor 4 Units| Low Floor | 12 Parking,"EFT is an integrated office and retail development completed in 2011 and located in the heart of Dubai International Financial Centre (DIFC) and with direct access to Sheikh Zayed Road. The building is 3B+G+P+26 and provides 450,357 sq. ft. of office space with fantastic views over DIFC and Dubai Downtown. EFT is serviced by 16 high-speed elevators across both towers as well as an automated parking system. Unit Details:* Size:9,793 sq. ft. (Full Floor - 4 Units)* 3 Units are Fitted and Partitioned; 1 in Shell & Core Condition* 12 Parking AllocationBuilding Details:*Strata Titled building with state-of-the-art infrastructure with World-class facilities*Range of local amenities, F&B, retail etc in close proximity *Walking distance to nearest Dubai Metro station *24-hour security with CCTV  coverageKnight Frank is the leading independent global residential and commercial property consultancy, headquartered in London. Knight Frank has a strong presence in the Middle East with offices in Abu Dhabi, Dubai, and Saudi Arabia.DED# 681951, RERA# 11964",,,"9,793",DIFC,Office,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/311616580-800x600.jpeg,https://images.bayut.com/thumbnails/324094663-800x600.jpeg,https://images.bayut.com/thumbnails/314186611-800x600.jpeg,https://images.bayut.com/thumbnails/311616580-120x90.jpeg,https://images.bayut.com/thumbnails/324094663-120x90.jpeg,https://images.bayut.com/thumbnails/313255668-120x90.jpeg,https://images.bayut.com/thumbnails/311188878-120x90.jpeg,https://images.bayut.com/thumbnails/315832124-120x90.jpeg,https://images.bayut.com/thumbnails/311616587-120x90.jpeg,https://images.bayut.com/thumbnails/313255679-120x90.jpeg,https://images.bayut.com/thumbnails/314186597-120x90.jpeg,https://images.bayut.com/thumbnails/309820050-120x90.jpeg,https://images.bayut.com/thumbnails/314186611-120x90.jpeg,https://images.bayut.com/thumbnails/309131823-240x180.jpeg",,,1675262638732,"21,000,000"
Exclusive | Upgraded | Furnished | Canal View,"KAYE & CO REAL ESTATE L. L. C. welcomes you to this fully furnished office in Al Manara Tower, Business bay, Dubai. Property details:- Multiple options are available in this building- Full furnished- Fully upgraded- 1 Bathroom- Fully fitted- Sparkling Canal view - 3 Parkings- PantryAmenities and Facilities:- 24 Hour Security- Business Center- Conference Rooms- Health Club- Spacious Lobby- Meeting Halls- High-Speed Elevators- Full CCTV coverage- Front desk servicePlease feel free to contact Asall at View Contact Detail for any additional information. Al Manara Tower has been considered one of the Grade A Commercial Building completed in 2011. It was designed exclusively to reflect both the style and functionality as well as to feature a fully serviced business center, conference, auditorium facility, and a leisure deck. KAYE & CO. is a privately-run real estate firm with more than fifteen years of local industry experience. We are a Downtown focused agency and if you are looking for somebody to guide you in this community, please get in touch with us. PROPERTY FEATURES:  -Basement parking -Central air conditioning -Central heating -Community View -Covered parking -Fully furnished -On mid floor -Private garage -Shared swimming pool -View of sea/water -24 hours Maintenance -Bank/ATM Facility -Business Center -Concierge service -Fitness Center -Metro station -Mosque -Public parking -Public transport -Restaurants -School -Shopping mall -ShopsRERA# 17029, DED# 755060, ORN# 17029BRN# 49642",,,"1,487",Business Bay,Office,,,,,Furnished,,,,,,,,"Furnished,Parking Spaces,Centrally Air-Conditioned,Central Heating,Gym or Health Club,Maintenance Staff,Business Center,ATM Facility,24 Hours Concierge,View",,"https://images.bayut.com/thumbnails/324061315-800x600.jpeg,https://images.bayut.com/thumbnails/311983171-800x600.jpeg,https://images.bayut.com/thumbnails/313123217-800x600.jpeg,https://images.bayut.com/thumbnails/324061315-120x90.jpeg,https://images.bayut.com/thumbnails/311983171-120x90.jpeg,https://images.bayut.com/thumbnails/324127142-120x90.jpeg,https://images.bayut.com/thumbnails/314142225-120x90.jpeg,https://images.bayut.com/thumbnails/313123201-120x90.jpeg,https://images.bayut.com/thumbnails/313123204-120x90.jpeg,https://images.bayut.com/thumbnails/324971087-120x90.jpeg,https://images.bayut.com/thumbnails/313123208-120x90.jpeg,https://images.bayut.com/thumbnails/311162173-120x90.jpeg,https://images.bayut.com/thumbnails/313123212-120x90.jpeg,https://images.bayut.com/thumbnails/313123214-120x90.jpeg,https://images.bayut.com/thumbnails/311983167-120x90.jpeg,https://images.bayut.com/thumbnails/313123216-120x90.jpeg,https://images.bayut.com/thumbnails/313123217-120x90.jpeg,https://images.bayut.com/thumbnails/27681788-240x180.jpeg",,,1675262641607,"2,100,007"
