title,description,bedrooms,bathrooms,size,area,type,parking,ownership,completion,developer,furnishing,built_up_area,elevators,number_of_parking,number_of_appartments,balcony_size,category,number_of_floors,amenities,totla_building_area,imgs,plans_2d,plans_3d,signaturea,price
Brand New | Elegant | Luxurious | Payment Plan,"Brought to you by F&C Properties. This amazing, spacious and elegant 6 Bedroom Villa is located in DAMAC Lagoons - Venice. Property Details:* Bedroom: 6* Bathroom: 7* Size: 4874 sq. ft. * Premium Villa* Maid's Room: 1* Driver's Room: 1* Family Room* Community Views* Kitchen* Storage* Sauna & Steam* Indoor Pool* Casual living and dining area* Walk in Closet* Laundry room* Private garden* Balcony* Terrace* Basement Parking SpaceAmenities and Features:* Retail Outlets* Gym* Restaurants* Swimming Pool* Parking Area* CCTV Cameras* Shopping Mall* Children Play Area* Mosque* Sports Facilities* BBQ Area* Schools* Lush Green Parks* First Water cinemaAbout the Project:Venice is a collection of spacious properties with sweeping views of the lagoons and stunning monochromatic architecture, inspired by the quintessential Italian city. Make way for wonder with cosy waterside cafés, gondola rides, high-end retail, carnival vibes and among a lot more, the jewel in the crown – a magnificent clubhouse.At F&C Properties, we are focused on providing only top-notch services whether it is sales, lease, or investment, our team has the right tools to keep our customers fully satisfied. Complete one-stop solutions to every customized need. Our Brokers are well trained and have extensive experience in the Real Estate market and will guide our clients all the way through until they are completely satisfied with our services. F&C Properties is partnered with:EMAAR Properties | DAMAC Properties | AZIZI | SOBHA Realty | SELECT GroupContact us now for more information about this property!-For More PropertiesVisit our Websitefandcproperties. ae-DED# 847427, RERA# 23115",6,7,"4,874",Damac Lagoons,Villa,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/337662438-800x600.jpeg,https://images.bayut.com/thumbnails/337662439-800x600.jpeg,https://images.bayut.com/thumbnails/337662451-800x600.jpeg,https://images.bayut.com/thumbnails/337662438-120x90.jpeg,https://images.bayut.com/thumbnails/337662439-120x90.jpeg,https://images.bayut.com/thumbnails/337662440-120x90.jpeg,https://images.bayut.com/thumbnails/337662441-120x90.jpeg,https://images.bayut.com/thumbnails/337662442-120x90.jpeg,https://images.bayut.com/thumbnails/337662443-120x90.jpeg,https://images.bayut.com/thumbnails/337662444-120x90.jpeg,https://images.bayut.com/thumbnails/337662445-120x90.jpeg,https://images.bayut.com/thumbnails/337662446-120x90.jpeg,https://images.bayut.com/thumbnails/337662447-120x90.jpeg,https://images.bayut.com/thumbnails/337662448-120x90.jpeg,https://images.bayut.com/thumbnails/337662449-120x90.jpeg,https://images.bayut.com/thumbnails/337662450-120x90.jpeg,https://images.bayut.com/thumbnails/337662451-120x90.jpeg,https://images.bayut.com/thumbnails/96440205-240x180.jpeg",,,1675256885196,"5,600,000"
Stunning Property | Luxury Designs | Off Plan,"With a choice of stylishly designed apartments in one of Dubai’s highly awaited residential developments, Beverly Boulevard is set to offer unparalleled community living. Features & Amenities:Beach leisure & lounge Pool. Cabanas. Pool sun loungers area. Fitness studio. Jacuzzi Pit. Outdoor kid’s play area. Steam / Sauna. Paddle tennis. Jogging / Walking Track. Outdoor Lounge and Cinema. Barbeque area with kitchen facility. Yoga Studio. Outdoor GymArjan is a rapidly developing neighborhood in Dubai, known for its community living with well planned infrastructure &Great balance of residential & Commercial. In the heart of Arjan, Beverly Boulevard that promotes a healthy lifestyle & gives luxury living a new way. HANDOVER IS SET TO BE GIVEN BY 4TH QUARTER OF 2024 that are highly functional and encourage interaction. Strategically located, Beverly Boulevard is easy access to all the main routes of Dubai providing a great sense of connectivity. Beverly Boulevard has brilliant layouts & private pools which is a great blend of Comfort & LuxuryA privately-owned real estate company in Dubai certified by RERA. We have an extensive portfolio of residential and commercial and offer a wide range of services to local and foreign investors. Visit snhproperties. ae or contact us for more information, We will help you to meet your all need related to your Properties requirements. In case if you want to list your property feel free to contact us on View Contact Detail or drop us an email on Send e-mailThank you for choosing SNH Properties!DED# 1105352, RERA# 32065",,2,796,Arjan,Apartment,,,,,,,,,,,,,"Electricity Backup,Centrally Air-Conditioned,Balcony or Terrace,Lobby in Building,Service Elevators,Completion Year: 2024,Prayer Room,Reception/Waiting Room,Flooring,First Aid Medical Center,Gym or Health Club,Facilities for Disabled,Swimming Pool,Jacuzzi,Sauna,Steam Room,Kids Play Area,Lawn or Garden,Barbeque Area,Waste Disposal,Maintenance Staff,Cleaning Services,Security Staff,CCTV Security,Broadband Internet,Intercom",,"https://images.bayut.com/thumbnails/337251809-800x600.jpeg,https://images.bayut.com/thumbnails/337251810-800x600.jpeg,https://images.bayut.com/thumbnails/337251818-800x600.jpeg,https://images.bayut.com/thumbnails/337251809-120x90.jpeg,https://images.bayut.com/thumbnails/337251810-120x90.jpeg,https://images.bayut.com/thumbnails/337251811-120x90.jpeg,https://images.bayut.com/thumbnails/337251812-120x90.jpeg,https://images.bayut.com/thumbnails/337251813-120x90.jpeg,https://images.bayut.com/thumbnails/337251814-120x90.jpeg,https://images.bayut.com/thumbnails/337251815-120x90.jpeg,https://images.bayut.com/thumbnails/337251816-120x90.jpeg,https://images.bayut.com/thumbnails/337251817-120x90.jpeg,https://images.bayut.com/thumbnails/337251818-120x90.jpeg,https://images.bayut.com/thumbnails/306015605-240x180.jpeg",,,1675256887728,"795,000"
Modern Hot Deal Unit near Mall | Profitable for Investment,"Binghatti Crescent is an off-plan Mixed residential & Retail Building in District 11, Jumeirah Village Circle. It will have B+G+5 Floor + Roof offering 165 apartments, including 1, 2-bedroom & 3 Bedroom units. The flats can be booked with an initial payment of 20%. The project by Binghatti Developers is expected to be completed by December 2023. Payment Plan :- 60% During Construction & 40% On Handover- Book your Unit paying 20K as EOILocation connectivity: - 07 Minutes - Mall of Emirates- 10 Minutes - Dubai Marina- 15 Minutes - Dubai Mall- 30 Minutes - DXB International Airport- 20 Minutes - Burj Al ArabDubai is one of the most vibrantand fast-growing economies in the world, with a stable and business-friendlyenvironment. This makes it an ideal place to invest in real estate. At HOMEBONDPROPERTIES, we offer a wide range of properties from apartments, penthouses tovillas and townhouses. All types of properties with different price points areavailable making it suitable for end-users and investors of all budgets. Ourexpert agents always go the mile in helping our clients to find the propertythat perfectly matches their requirements. ULTIMATE HOMEBOND PROPERTIESAddress: Second Floor, Indigo Central 8 St. , Al Manara, Dubai, UAELandline Number: View Contact DetailWebsite: www. homebond. aeLicense Number: View Contact DetailRERA Number: 11889DED# 678226, RERA# 11889",,2,713,Jumeirah Village Circle (JVC),Apartment,,,,,,,,,,,,,"Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Lobby in Building,Service Elevators,Gym or Health Club,Swimming Pool,Security Staff,CCTV Security,Freehold",,"https://images.bayut.com/thumbnails/336708001-800x600.jpeg,https://images.bayut.com/thumbnails/336708002-800x600.jpeg,https://images.bayut.com/thumbnails/336708012-800x600.jpeg,https://images.bayut.com/thumbnails/336708001-120x90.jpeg,https://images.bayut.com/thumbnails/336708002-120x90.jpeg,https://images.bayut.com/thumbnails/336708003-120x90.jpeg,https://images.bayut.com/thumbnails/336708005-120x90.jpeg,https://images.bayut.com/thumbnails/336708006-120x90.jpeg,https://images.bayut.com/thumbnails/336708007-120x90.jpeg,https://images.bayut.com/thumbnails/336708008-120x90.jpeg,https://images.bayut.com/thumbnails/336708009-120x90.jpeg,https://images.bayut.com/thumbnails/336708010-120x90.jpeg,https://images.bayut.com/thumbnails/336708011-120x90.jpeg,https://images.bayut.com/thumbnails/336708012-120x90.jpeg,https://images.bayut.com/thumbnails/174193432-240x180.jpeg",,,1675256892342,"859,375"
Ready Dec-2023 | 60/40 Payment plan | Smart home,"Binghatti Crescent which residents can use to enhance their quality of life in every way. Here, you can push your limits and adopt a new perspective. Thanks to the calming effects of nature and the aroma of innovation. The development meets all the needs of its residents because it has retail establishments on the ground floor. The development caters to all the needs of its residents as it comes with retail stores at the lower level. The latest Binghatti project in Jumeirah Village Circle, DubaiIt is located steps away from C- Mall. Spacious apartments consisting of one room and a hall, two rooms and a hall, three rooms and a hall. The project consists of a basement + ground floor + five floors. Modern finishes and apartments with smart systems. Location: 3 Minutes to Circle Mall 10 Minutes to Mall of Emirates 15 Minutes to Downtown and Dubai Mall 20 Minutes to Burj Al Arab 30 Minutes to DXB International Airport 30 Minutes to DWC AirportPayment Plan:60/40DED# 678226, RERA# 11889",,2,718,Jumeirah Village Circle (JVC),Apartment,,,,,,,,,,,,,"Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,CCTV Security,ATM Facility,Freehold",,"https://images.bayut.com/thumbnails/336707743-800x600.jpeg,https://images.bayut.com/thumbnails/336707746-800x600.jpeg,https://images.bayut.com/thumbnails/336707765-800x600.jpeg,https://images.bayut.com/thumbnails/336707743-120x90.jpeg,https://images.bayut.com/thumbnails/336707746-120x90.jpeg,https://images.bayut.com/thumbnails/336707747-120x90.jpeg,https://images.bayut.com/thumbnails/336707749-120x90.jpeg,https://images.bayut.com/thumbnails/336707751-120x90.jpeg,https://images.bayut.com/thumbnails/336707754-120x90.jpeg,https://images.bayut.com/thumbnails/336707757-120x90.jpeg,https://images.bayut.com/thumbnails/336707759-120x90.jpeg,https://images.bayut.com/thumbnails/336707761-120x90.jpeg,https://images.bayut.com/thumbnails/336707763-120x90.jpeg,https://images.bayut.com/thumbnails/336707765-120x90.jpeg,https://images.bayut.com/thumbnails/174193432-240x180.jpeg",,,1675256896223,"873,125"
Luxurious Living in 3 BR Townhouse | Middle Spot | Bright Community,"Nature-inspired touches, including weaving trees and greenery into the design of your home, this property with extra-luxurious living experience will truly amaze you!Jouri Hills, Jumeirah Gold EstatesSelling Price: AED 4,101,000BUA: 3,160 sq. ft. Off-planAnticipated Completion: June 2025Payment Plan:*20% Down payment*40% During Construction*40% On CompletionFacilities and Amenities:*Large Living Spaces*Smart Technology Home*Park with Local Sports Facilities*Swimming Pools*Free Gold Cart for each home purchase*Premium Dishwasher, washing machine, Oven, Microwave, and Fridge*Direct Access to Greenery*Nature Inspired Home Touches*Wide Range of Home size and Floor plansConnectivity:*15 Mins to motor City*25 Mins to Palm Jumeirah*30 Mins to Downtown Dubai*30 Mins to Dubai International StadiumJouri Hills is part of the exclusive Jumeirah Golf Estates, a world-class residential golf destination. Set across 1,119 hectares of lush green landscape, the development is an unrivalled destination offering attractive investment opportunities and world class amenities. Each individually designed houses is more than a residence; it is an ideal home in its own right. Call Ms. Hind Jouini 3254 on View Contact Detail / View Contact Detail for more details. or visit www. dubaifirsthome. com for further details. Project No: 2506Project Name: Jouri HillsDeveloper: Arada DevelopmentLocation: Jumeirah Golf EstatesEscrow: View Contact DetailRERA# 1068, DED# 590874BRN# 3254",3,5,"3,160",Jumeirah Golf Estates,Townhouse,,,,,,,,,,,,,"Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Gym or Health Club,Swimming Pool,Kids Play Area,Lawn or Garden,Security Staff,CCTV Security,Broadband Internet,Satellite/Cable TV,Intercom",,"https://images.bayut.com/thumbnails/338378234-800x600.jpeg,https://images.bayut.com/thumbnails/338378235-800x600.jpeg,https://images.bayut.com/thumbnails/338378243-800x600.jpeg,https://images.bayut.com/thumbnails/338378234-120x90.jpeg,https://images.bayut.com/thumbnails/338378235-120x90.jpeg,https://images.bayut.com/thumbnails/338378236-120x90.jpeg,https://images.bayut.com/thumbnails/338378237-120x90.jpeg,https://images.bayut.com/thumbnails/338378238-120x90.jpeg,https://images.bayut.com/thumbnails/338378239-120x90.jpeg,https://images.bayut.com/thumbnails/338378240-120x90.jpeg,https://images.bayut.com/thumbnails/338378241-120x90.jpeg,https://images.bayut.com/thumbnails/338378242-120x90.jpeg,https://images.bayut.com/thumbnails/338378243-120x90.jpeg,https://images.bayut.com/thumbnails/27838520-240x180.jpeg",,,1675256898326,"4,101,000"
High ROI | Prime Location | Smart Home,"Binghatti Crest in Jumeirah Village Circle is ideal for families. It’s also a great option for those who come to Dubai for a business trip or for permanent residence. Purchasing a studio or an apartment in Jumeirah Village Circle is a good investment as the ROI in the area is around 6.5% with studios being among the most popular units to rent and for sale. NEARBY LOCATIONS:20 Minutes to Downtown Dubai15 Minutes to Dubai Marina25 Minutes to DXB Airport30 Minutes to DWC AirportAMENITIES:BBQ AreasCycling TrailsFitness CentreGardens and ParksCycling TrailsGreen SurroundingOutdoor Dining AreaRestaurant and CafeSchools and InstitutesSpa and SaunaSports CourtPAYMENT PLAN:Pay 60% during constructionPay 40% on completionDED# 678226, RERA# 11889",,2,727,Jumeirah Village Circle (JVC),Apartment,,,,,,,,,,,,,"Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Security Staff,CCTV Security,Freehold",,"https://images.bayut.com/thumbnails/336707815-800x600.jpeg,https://images.bayut.com/thumbnails/336707816-800x600.jpeg,https://images.bayut.com/thumbnails/336707827-800x600.jpeg,https://images.bayut.com/thumbnails/336707815-120x90.jpeg,https://images.bayut.com/thumbnails/336707816-120x90.jpeg,https://images.bayut.com/thumbnails/336707817-120x90.jpeg,https://images.bayut.com/thumbnails/336707818-120x90.jpeg,https://images.bayut.com/thumbnails/336707819-120x90.jpeg,https://images.bayut.com/thumbnails/336707820-120x90.jpeg,https://images.bayut.com/thumbnails/336707821-120x90.jpeg,https://images.bayut.com/thumbnails/336707822-120x90.jpeg,https://images.bayut.com/thumbnails/336707825-120x90.jpeg,https://images.bayut.com/thumbnails/336707826-120x90.jpeg,https://images.bayut.com/thumbnails/336707827-120x90.jpeg,https://images.bayut.com/thumbnails/174193432-240x180.jpeg",,,1675256902218,"866,250"
Spectacular Sea and Sunset View | 4BR | Waterfront Living,"Live a luxurious waterfront island life with stunning views of the sea and the Dubai city skyline Six Senses Hotel by Select Group branded residences in Dubai. Well Crafted between sand and sea, to offer a secluded escape unlike anywhere in the city. The beachfront property on Palm Jumeirah comprises ultra-fancy residences, An exclusive 4 bedroom Penthouse with an extraordinary creativity and designs. LOCATION:• Crescent Road• Al Khail Road. • Sheikh Zayed Road• 20 Minutes to Dubai Marina• 25 Minutes to Downtown Dubai• 30 Minutes to DXB Airport• 40 Minutes to DWC AirportFACILITIES:• Cigar Lounge• Lounge Seating• Meeting Rooms• Alchemy Bar• Wellness, Aesthetic, Cosmetic Clinic• Sauna• Female Locker Room• Lounge• Treatment Rooms• VIP Treatment Room• Hammam• Treatment Rooms• Steam• Cold Plunge• Sauna• Lounge• Massage CircuitPAYMENT PLAN:• 5% on booking• 2 years payment planFor more Info. /details Call/WhatsApp us:ILHAM FENDILView Contact Detail / View Contact DetailE mail: Send e-mailDED# 950348, RERA# 26500",4,6,"3,970",Palm Jumeirah,Penthouse,,,,,Unfurnished,,,,,,,,,,"https://images.bayut.com/thumbnails/335413686-800x600.jpeg,https://images.bayut.com/thumbnails/335413687-800x600.jpeg,https://images.bayut.com/thumbnails/335413699-800x600.jpeg,https://images.bayut.com/thumbnails/335413686-120x90.jpeg,https://images.bayut.com/thumbnails/335413687-120x90.jpeg,https://images.bayut.com/thumbnails/335413688-120x90.jpeg,https://images.bayut.com/thumbnails/335413689-120x90.jpeg,https://images.bayut.com/thumbnails/335413690-120x90.jpeg,https://images.bayut.com/thumbnails/335413691-120x90.jpeg,https://images.bayut.com/thumbnails/335413692-120x90.jpeg,https://images.bayut.com/thumbnails/338382386-120x90.jpeg,https://images.bayut.com/thumbnails/335413694-120x90.jpeg,https://images.bayut.com/thumbnails/335413695-120x90.jpeg,https://images.bayut.com/thumbnails/335413696-120x90.jpeg,https://images.bayut.com/thumbnails/335413697-120x90.jpeg,https://images.bayut.com/thumbnails/335413698-120x90.jpeg,https://images.bayut.com/thumbnails/335413699-120x90.jpeg,https://images.bayut.com/thumbnails/105840265-240x180.jpeg",https://images.bayut.com/thumbnails/306425658-600x450.jpeg,https://images.bayut.com/thumbnails/306425175-600x450.jpeg,1675256908109,"21,000,000"
Ultra luxury | Guaranteed returns | Prime location | Exclusive launch offers,"PER WIN PROPERTIES L. L. C is pleased to present you this 1 Studio Apartment in Al Barsha South Third, Arjan. Behold! A masterpiece for new-age living. . . inspired by the timeless architecture of Europe, bringing the glory of iconic and inimitable Victorian architecture, every inch at Vincitore Volare is created to be a true masterpiece. The world is changing. People prize freedom and flexibility. Everyone is trying to achieve a perfect work-life balance. Vincitore Volare is a one-of-a kind project that offers a holistic lifestyle blending luxury, wellness and modern amenities. . . . Live Life On Your Own Terms. . . Freedom To Work From Anywhere. . . Get The Ultimate Peace Of Mind. . . Enjoy Limitless LuxuryDeveloper: Vincitore Realty is Dubai's finest boutique designer developer renowned for delivering landmark projects on the golden lands of Dubai. Our timeless landmark projects Vincitore Palacio, Vincitore Boulevard and Vincitore Benessere stand as an insignia of our eternal legacy. Key Highlights of the Apartment:Volare Skyland (Roof Floor)Futuristic Boutique Homes (13 Residential Floors)Volare Island (Podium Floor)Volare Business LoungeDedicated ParkingVolare HighlandAmenities:Sky PoolKids PoolSky JacuzziSky GardenSky LoungeBarbeque & Grill DeckGymnasium & Boutique Wellness SpaExecutive StudioClassic 1 BedroomPremium 1 BedroomLuxury 2 BedroomTropical Retreat GardensSignature RockWaterfallOutdoor Family SeatingsTree HouseKids Play LoungeDedicated Pets LoungeServiced Business LoungeClub RoomPrivate Meeting RoomsMedia Screening RoomOutdoor Private LoungeGolf Putt3 Parking FloorsRetail Shops & ClinicsBowling AlleyFood & ShoppingLeisure & EntertainmentBalcony or TerraceLobby in BuildingService ElevatorsReception/Waiting RoomSecurity StaffCCTV Security24 Hours ConciergeDouble Glazed WindowsCentrally Air-ConditionedCentral HeatingElectricity BackupMaintenance StaffPayment Plan:Post Handover Rental Guarantee - 8% for 3 years20% on the Booking 20% in 5 Months20% in 10 Months20% in 15 Months   10% in 20 Months  10% on Handover   Post Handover Payment Plan 20% on Down Payment1% Every Month for 27 Months (27%)10% in 5 Months10% in 10 Months9% on Handover1% Every Month for 24 Months (24%)Regular Payment Plan 20% on the Booking10% in 5 Months10% in 10 Months10% in 15 Months50% on HandoverLocation:Volare is located in the heart of Arjan, the hottest location in Dubai, right on the Central Community Garden. Arjan, the upcoming golden quarter of Dubai, is a beautifully designed master community that offers a rich mix of a quaint suburban lifestyle with open natural landscapes and the exuberance of a city life with world class entertainment hubs and many famous tourist destinations. Our Company:Per Win Properties LLC is a boutique real estate brokerage in Dubai specializing in off plan sales and leasing of Residential and Commercial properties. The company has international Real Estate Specialists that focus on the UAE and India market. We provide our clients with support services through our partner alliances with mortgage advice, property management, company setup and property law advice. Per Win is a one-stop shop for seamless professional real estate service. DED# 949302, RERA# 32213, ORN# 32213",,,485,Arjan,Apartment,,,,,Unfurnished,,,,,,,,"Balcony or Terrace,Lobby in Building,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Jacuzzi,Sauna,Kids Play Area,Lawn or Garden,Maintenance Staff,Cleaning Services,Security Staff,CCTV Security",,"https://images.bayut.com/thumbnails/333829175-800x600.jpeg,https://images.bayut.com/thumbnails/333829176-800x600.jpeg,https://images.bayut.com/thumbnails/333829195-800x600.jpeg,https://images.bayut.com/thumbnails/333829175-120x90.jpeg,https://images.bayut.com/thumbnails/333829176-120x90.jpeg,https://images.bayut.com/thumbnails/333829179-120x90.jpeg,https://images.bayut.com/thumbnails/333829181-120x90.jpeg,https://images.bayut.com/thumbnails/333829183-120x90.jpeg,https://images.bayut.com/thumbnails/333829186-120x90.jpeg,https://images.bayut.com/thumbnails/333829188-120x90.jpeg,https://images.bayut.com/thumbnails/333829190-120x90.jpeg,https://images.bayut.com/thumbnails/333829192-120x90.jpeg,https://images.bayut.com/thumbnails/333829194-120x90.jpeg,https://images.bayut.com/thumbnails/333829195-120x90.jpeg,https://images.bayut.com/thumbnails/295264759-240x180.jpeg",,,1675256912733,"655,080"
New Launch | On Dubai Hills Park | Off Plan,"Betterhomes are proud to present this beautiful high quality apartment in the soon to be launched Elvira project in Dubai Hills Estate. - Payment Plan 80/20- Handover 2026- Full Pool and Park Views - Huge Potential for Capital Appreciation- State of the Art Amenities- High Rental Return on Investment Expected Emaar boasts serene green park views & contemporary, modern finishes. It is located perfectly with easy access to Al Khail Road. Dubai Hills features Kings College Hospital, Gems International flag ship British school & even Emaar's most exclusive shopping mall to date; Dubai Hills Mall. This apartment is perfect for an end user to reside in, in the heart of Dubai Hills Estate. Just as equally it is a perfect investment to achieve a high ROI in a community where your real estate investment will continue to appreciate.DED# 223306, RERA# 97, DED# 606264, DED# 870048BRN# 48633",,,700,Dubai Hills Estate,Apartment,,,,,Unfurnished,,,,,,,,"Parking Spaces,Balcony or Terrace,Gym or Health Club,Swimming Pool,Security Staff",,"https://images.bayut.com/thumbnails/338320641-800x600.jpeg,https://images.bayut.com/thumbnails/338320642-800x600.jpeg,https://images.bayut.com/thumbnails/338320653-800x600.jpeg,https://images.bayut.com/thumbnails/338320641-120x90.jpeg,https://images.bayut.com/thumbnails/338320642-120x90.jpeg,https://images.bayut.com/thumbnails/338320643-120x90.jpeg,https://images.bayut.com/thumbnails/338320644-120x90.jpeg,https://images.bayut.com/thumbnails/338320645-120x90.jpeg,https://images.bayut.com/thumbnails/338320646-120x90.jpeg,https://images.bayut.com/thumbnails/338320648-120x90.jpeg,https://images.bayut.com/thumbnails/338320649-120x90.jpeg,https://images.bayut.com/thumbnails/338320651-120x90.jpeg,https://images.bayut.com/thumbnails/338320653-120x90.jpeg,https://images.bayut.com/thumbnails/167794707-240x180.jpeg",,,1675256918728,"1,300,000"
Stunning | Bright | Waterfront Living Beach Access,"AX CAPITAL Real Estate is pleased to present this stunning 3 bedroom apartment in Sunset Creek Beach, Dubai Creek Harbour. Apartments at Sunset offer floor to ceiling windows for a light and airy ambience. Enjoy spaciously designed rooms inspired by traditional Middle Eastern architecture. Beautiful wood paneling is a reflection of the natural scenery with warm tones evoking a sense of comfort and harmony. - 3 Bedrooms plus maids- 2,143 sq ft- Spacious Balcony facing the Beach- Breathtaking Views- Direct Access to 300 Meter Beach- Smart Home Technology- Post handover Payment PlanAmenities and facilities:- Community Pool and kids Pool- Barbecue Facilities- Fully-Equipped Gym- Multipurpose Room- Town Centre- Outdoor Play AreaDubai Creek Harbour is a new world-class waterfront destination on the banks of the historic Dubai Creek and wondrous Ras Al Khor Wildlife Sanctuary. Seamlessly integrating state-of-the-art homes with nature, this city within city offers up a brand-new concept of ""Urban Luxe' living. Call for more details!RERA# 21635, DED# 813677",3,4,"2,143",Dubai Creek Harbour,Apartment,,,,,,,,,,,,,,,"https://images.bayut.com/thumbnails/336496873-800x600.jpeg,https://images.bayut.com/thumbnails/336496881-800x600.jpeg,https://images.bayut.com/thumbnails/336496946-800x600.jpeg,https://images.bayut.com/thumbnails/336496873-120x90.jpeg,https://images.bayut.com/thumbnails/336496881-120x90.jpeg,https://images.bayut.com/thumbnails/336496887-120x90.jpeg,https://images.bayut.com/thumbnails/336496892-120x90.jpeg,https://images.bayut.com/thumbnails/336496898-120x90.jpeg,https://images.bayut.com/thumbnails/336496906-120x90.jpeg,https://images.bayut.com/thumbnails/336496912-120x90.jpeg,https://images.bayut.com/thumbnails/336496916-120x90.jpeg,https://images.bayut.com/thumbnails/336496919-120x90.jpeg,https://images.bayut.com/thumbnails/336496923-120x90.jpeg,https://images.bayut.com/thumbnails/336496928-120x90.jpeg,https://images.bayut.com/thumbnails/336496931-120x90.jpeg,https://images.bayut.com/thumbnails/336496937-120x90.jpeg,https://images.bayut.com/thumbnails/336496942-120x90.jpeg,https://images.bayut.com/thumbnails/336496946-120x90.jpeg,https://images.bayut.com/thumbnails/79845378-240x180.jpeg",https://images.bayut.com/thumbnails/99238212-600x450.jpeg,https://images.bayut.com/thumbnails/99238213-600x450.jpeg,1675256923254,"4,900,000"
