amenities,area,bathrooms,bedrooms,description,link,ownership,price,property_age,property_type,reference,service_charge,size,tags,title,trakheesi_permit
"
                      Furnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Children's Pool,
Covered Parking,
Maids Room,
Private Garden,
Private Gym,
Private Jacuzzi,
Private Pool,
Security,
Shared Gym,
Shared Spa,
Vastu-compliant,
View of Landmark,
View of Water,
Walk-in Closet",Seslia Tower,2,"1
									+
					Maid			","Limited Time Offer: Few Days Remaining To Grab The Flash Sale: 
-Only 10% Down-payment (AED 47,000)
-pay the remaining in 1% Monthly (6 years Payment Plan -Zero Interest Fee), 
-Fully Furnished Apartments . 
It is an island that provides investment services to individuals seeking to maximize their return on investment. 
With the vision of industrial style in mind, the residential tower is designed to be functional
Where the most exquisite raw materials are used in all public areas of the tower, which will be used immediately as its visitors are immersed in a creative and modern atmosphere. 
Location: The building is located in Jumeirah Village Triangle (JVT). 
-10 minutes from JBR
-15 minutes from Palm Jumeirah
-15 minutes from Mall of the Emirates
-20 minutes from Dubai Mall
Features and services:
-Large swimming pool
-All units are delivered furnished
-Track for walking
-Gym
-Barbecue area
-Kids play area
-Sauna
-Jacuzzi
-Garden",/en/plp/buy/villa-for-sale-dubai-al-furjan-north-village-quortaj-9281543.html,N/A,"
                                              Ask for price                                          ",N/A,"
			Apartment
		",Seslia Tower 1BHK,N/A,"690
						sqft
															 / 
										64
						sqm",63K Downpayment|Fully Furnished|6YRS Installments,"
                Apartment for Sale in Seslia Tower, Jumeirah Village Triangle              ",0273583003
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Pets Allowed,
Private Pool,
Shared Gym,
Shared Pool",Belgravia 2,2,"1
							","Brought to you by Driven Properties, this 1 Bedroom Apartment is located in Belgravia 2, Jumeirah Village Circle.
Unit Details:
  * Vacant
  * View: POOL / COMMUNITY
  * Kitchen: Open and Fully Fitted
  * Bathrooms: 2
  * Built up Area: 921 sqft
  * No. of Parking: 1
  * Furnished: No
Features:
  * Balcony
  * Central air conditioning
  * Gymnasium
  * Covered parking
  * Public transport
  * Restaurants
  * Communal gardens
  * Shopping mall
JVC is a freehold master development by Nakheel situated alongside Sheikh Zayed Road. It offers more than 2,800 villas and more than 3,100 townhouses which are complimented with ultramodern home accessories.
Call our JVC office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.
Ask us about:
  * Mortgage Advisory
  * Property Management
  * Holiday Homes
  * Interior Design
Visit our offices across Dubai's most popular communities including:
  * Business Bay
  * Dubai Creek Harbour
  * Jumeirah Village Circle
  * Dubai Hills Estate",/en/plp/buy/villa-for-sale-dubai-al-furjan-north-village-quortaj-9281543.html,"
							Freehold
					","
                                              850,000  AED
                                                                  ","4 Years
			","
			Apartment
		",DPF-S-30006,"
				16.37
				AED
				per
				sqft
			","921
						sqft
															 / 
										86
						sqm",Luxurious | Spacious Apt | Fitted Kitchen,"
                Apartment for Sale in Belgravia 2, Belgravia              ",7145805471
"
                      Furnished,
Balcony,
Built in Wardrobes",Golf Views,2,"2
							","FAM is proud to present this amazing 2 Bedroom Unit in Golf Views located in Emaar South, Dubai South (Dubai World Central).
Overlooking the verdant golf course, this two-bedroom residence boasts a warm neutral palette throughout. It features an open-plan layout that combines the living room, dining room, and kitchen area altogether, generating a perfect space for hosting and entertaining. Floor-to-ceiling windows frame this living space, providing uninterrupted views of the beautiful & soothing views of lush green surroundings, the vibrant community and the infinity pool.
Come home to a pocket of serenity. Golf Views offers you an impressive apartment overlooking the 18-hole Championship golf course.
* Built-up Area: 994.3 SQ.FT.
*2 Bedrooms & 2 Bathrooms
*Fully Furnished: High end Furnishing
*Dedicated Covered Car Parking space
*Balcony
*Less than 10 Minutes to Expo 2020
*Less than 10 Minutes to Al Maktoum International Airport
*Elegantly designed landscaping.
*Swimming pool with Sun Loungers
*Landscaped Leisure Deck
*Fully Equipped Gym
*Family Barbecue Station
*Dining and leisure outlets and activities.
*Supermarkets
*The Community
*25 Neighborhood Parks
With an 809,500 square meter golf course right outside your front door, you can go for a round of golf any time you wish. And when you're done practicing your swing, you can hit the gym, relax by the community pool, or take your little ones for a mini-adventure at the play area.
fäm Properties 
 Contact Us - +97145420565
 Toll free: 800fam800 800326800) 
 Email: cc@famproperties.com
 Visit our website: famproperties.com",/en/plp/buy/apartment-for-sale-dubai-palm-jumeirah-golden-mile-golden-mile-9-9245916.html,"
							Freehold
					","
                                              950,000  AED
                                                                  ","3 Years
			","
			Apartment
		",PF-AS-80260,N/A,"994
						sqft
															 / 
										92
						sqm",Golf views /2 Bedrooms /Pool view/ Emaar south,"
                Apartment for Sale in Golf Views, EMAAR South              ",7150134662
"
                      Furnished,
Balcony,
Built in Wardrobes,
Covered Parking,
Kitchen Appliances,
Shared Gym,
Shared Pool",Bulgari Resort & Residences,3,"2
							","Brought to you by Driven Properties, this 2 Bedroom Apartment is located in Bulgari Resort & Residences, Jumeirah.
Unit Details:
  * Fully Upgraded
  * Vacant on Transfer
  * Potential Rent: AED 900,000/Yearly
  * Type D
  * High floor
  * View: Full Marina
  * Kitchen: Open and Fully Fitted
  * Bathrooms: 3
  * Built up Area: 2,088 sqft
  * No. of Parking: 2
  * Furnished: Yes
Features:
  * Balcony
  * Gym and pool
  * Kitchen Appliances
  * Built in wardrobes
  * Covered parking
Jumeirah is one of the most sought after residential areas along the coast of Dubai with vibrant seaside community experience. This community is also known to one of the greatest hotels in the world, Burj Al Arab.
Call our Business Bay office for more information or viewing on +971524960123for out of office hours or weekends call +971524960123. 
Ask us about:
  * Mortgage Advisory 
  * Property Management
  * Holiday Homes
  * Interior Design
Visit our offices across Dubai's most popular communities including:
  * Business Bay
  * Dubai Creek Harbour
  * Jumeirah Village Circle
  * Dubai Hills Estate",/en/plp/buy/apartment-for-sale-dubai-palm-jumeirah-golden-mile-golden-mile-9-9245916.html,"
							Freehold
					","
                                              Ask for price                                          ","6 Years
			","
			Apartment
		",DPF-S-30055,N/A,"2,088
						sqft
															 / 
										194
						sqm",Exclusive | Fully Upgraded on High Floor,"
                Apartment for Sale in Bulgari Resort & Residences, Jumeirah Bay Island              ",7121371935
,Wildflower,7+,"7
							","E and T Real Estate in Jumeirah Golf Estates is delighted to exclusively present this stunning mansion available for sale.- 7 Bedrooms- Brand New Villa- Home Cinema- Study- Maids and Drivers Room- Dirty Kitchen- Custom Built- Private Swimming Pool- Three Car Garage and Extended DrivewaySituated on a corner plot with full views of the Earth Golf Course this is a must see property.Two bedrooms are downstairs in the property with a study area and 3 large living / dining areas.There is both a wet and dry kitchen with maids / drivers room to the rear.Upstairs boasts 5 further bedrooms with a large family living area.The master bedroom has a lounge area leading to the bedrooms opening up to a large terrace over looking the golf course.For more information or to arrange a viewing then please call Ben BakerCompany name: Edwards & TowersRERA ORN: 193 Address: Centro Al Andalus Shop 15, next to Spinney'sCompany Profile: Welcome to Edwards & Towers, Dubai's Best Real Estate Brokerage. Bringing over 15 years of Dubai real estate experience and RICS professional accreditation, Edwards & Towers is well placed to help our customers meet their needs.",/en/plp/buy/apartment-for-sale-dubai-palm-jumeirah-golden-mile-golden-mile-9-9245916.html,N/A,"
                                              19,999,950  AED
                                                                  ",N/A,"
			Villa
		",ET-S-9638,N/A,"12,921
						sqft
															 / 
										1,200
						sqm",7 bedrooms | Earth Golf Course View | Exclusive,"
                Villa for Sale in Wildflower, Earth              ",6544673890
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Shared Gym,
Study",The Residences 7,3,"2
							","Brought to you by Driven Properties, this 2 Bedroom Apartment is located in The Residences 7, Downtown Dubai.
Unit Details:
  * Rented until July2021
  * High floor
  * View: Burj Khalifa/Fountain
  * Kitchen: Open and Fully Fitted
  * Bathrooms: 3
  * Built up Area: 1452sqft
  * No. of Parking: 1
  * Furnished: No
Features:
  * Balcony
  * Basement parking
  * BBQ area
  * Study
  * Public park
  * Restaurants
  * Shopping mall
  * Shops
Downtown Dubai is the city’s busy tourism hub. A home to the towering Burj Khalifa skyscraper, with its observation deck, and the dancing Dubai Fountain where crowds gather to watch music and light shows.
Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.
Ask us about:
  * Mortgage Advisory
  * Property Management
  * Holiday Homes
  * Interior Design
Visit our offices across Dubai's most popular communities including:
  * Business Bay
  * Dubai Creek Harbour
  * Jumeirah Village Circle
  * Dubai Hills Estate",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              3,190,000  AED
                                                                  ",N/A,"
			Apartment
		",DPF-S-29929,N/A,"1,452
						sqft
															 / 
										135
						sqm",Upgraded Apt | Full Burj & Fountain View,"
                Apartment for Sale in The Residences 7, The Residences              ",7119036900
"
                      Unfurnished,
Balcony,
Central A/C,
Children's Play Area,
Covered Parking,
Maids Room,
Private Garden",Quortaj,6,"5
									+
					Maid			","Vibgyor Real Estate offer you this 5 Bedroom Independent Villa for sale located in Quortaj at Al Furjan.
Property details:
Quortaj Style - Type A
Corner
Huge Plot
5 En-suite bedrooms
6458 square feet area
Maids, Laundry and Storage Room
Vacant
Community Facilities and Amenities:
Communal gardens
Children’s nursery
Park
Public transport
Children’s play area
Metro station
Benefits of Investing in Dubai:
No Property tax
Ranked the safest city in the world
Lucrative capital gains
Free residency visa on property purchase
World-class service sector
High quality infrastructures
Acceptance of crypto currencies
To know more about the property and the community, Call Mr. Jamiz at +971507280887
Finance is available through Vibgyor Real Estate’s trusted partners. Please contact us to know more.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              4,800,000  AED
                                                                  ",N/A,"
			Villa
		",RL1255,N/A,"6,458
						sqft
															 / 
										600
						sqm",Type A | Corner Unit | Excellent Value | Al Furjan,"
                Villa for Sale in Quortaj, North Village              ",6510810136
"
                      Furnished,
Balcony,
Central A/C,
Maids Room,
Shared Gym,
View of Water,
Walk-in Closet",Bulgari Resort & Residences,3,"2
									+
					Maid			","Brought to you by Driven Properties, this 2 Bedroom Apartment is located in Bulgari Resort &amp; Residences, Jumeirah.
Unit Details:
  * Best Price
  * Vacant on Transfer
  * High Floor
  * Type C
  * 2BR+Maids
  * Full Skyline view
  * Exclusive to Driven Properties
  * Potential Rent: 1,200,000/year
  * Open and Fully Fitted
  * Bathrooms: 3
  * BUA: 1,938 Sq. Ft.
  * Parking: 2
We have more units available on various floors.
Please ask for more details.
Features:
  * Walk-in Closet
  * Solid wood floors
  * Maids room
  * Tennis courts
  * Security
  * Concierge Service
  * Communal gardens
  * Childrens play area
Jumeirah Bay Island featuring mixed-use properties spans across a 6 million sq. ft. area. There are 127 plots and contemporary built villas that allow access to the private beach offering views of the Arabian Gulf
Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.
Ask us about:
  * Mortgage Advisory
  * Property Management
  * Holiday Homes
  * Interior Design
Visit our offices across Dubai's most popular communities including:
  * Business Bay
  * Dubai Creek Harbour
  * Jumeirah Village Circle
  * Dubai Hills Estate",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              16,500,000  AED
                                                                  ","6 Years
			","
			Apartment
		",DPF-S-29989,N/A,"1,938
						sqft
															 / 
										180
						sqm",Stunning Apt | High Floor | Skyline View,"
                Apartment for Sale in Bulgari Resort & Residences, Jumeirah Bay Island              ",7121372067
,The Fairmont Palm Residence North,2,"1
							","Brought to you by F and C Properties, Large 1 Bedroom Apartment with Nakheel Mall and Road Views, Direct towards Nakheel Mall Terrace Fountain and Royal Atlantis View from the terrace.
Property Details
* Bedroom: 1
* Bathroom: 2
* Size: 1549.79 sq/feet
* Road and mall view
* Spacious closet space
* Bright apartment with floor to ceiling windows
* Viewing is highly recommended.
Unit Overview
This current unit is located on a high floor with a big terrace which makes big difference between other types of Fairmont 1 bedroom. It has a large size and convenient access from the living room as well as
the master bedroom. This nice and close-to-lift cozy apartment series is unique with its vacant status for both investors and end-users. It is very rare in the market.
About Fairmont Residence
The Fairmont Residence is located on the trunk of Palm Jumeirah, within easy access to Sheikh Zayed Road. The area also has a beautiful park across the road with a playground for children and a running
track for fitness enthusiasts. The many dining and retail outlets ensure that residents have plenty of fun and entertaining activities to participate in and around the area. The Fairmont is a mixture of
hotels and residences. As residents, you will take advantage of the benefits of enjoying the
magnificent and modern facilities.
F&C Properties is partnered with:
EMAAR Properties | DAMAC Properties | AZIZI | SOBHA Realty | SELECT Group
Contact us now for more information about this property!
-
For More Properties
Visit our Website
fandcproperties.ae",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              2,450,000  AED
                                                                  ","13 Years
			","
			Apartment
		",FC-S-LA-02241,"
				15.3
				AED
				per
				sqft
			","1,549
						sqft
															 / 
										144
						sqm",Spacious 1BR | Large Terrace | F Type | Vacant,"
                Apartment for Sale in The Fairmont Palm Residence North, The Fairmont Palm Residences              ",7165404540
"
                      Furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Maid Service,
Pets Allowed,
Private Garden,
Private Jacuzzi,
Private Pool,
Security,
Shared Gym,
Shared Pool,
Shared Spa,
View of Landmark,
View of Water,
Walk-in Closet",FIVE at Jumeirah Village Circle,2,"2
							","Treo Homes is very pleased to be bringing to the market our latest listing in Five At Jumeirah Village Circle Dubai, Jumeirah Village CircleFeatures - Rare Private Terrace - Private Pool - Fully Furnished - Large Terrace - Floor to Ceiling Windows - En-suite - Fitted Wardobes - 2,797.54 sqft - Stunning Views - New to the market, this stunning fully furnished 2 bedroom apartment boasts a large open-plan living space, with a fully equipped kitchen.The lounge area offers plenty of living and dining space with access directly to the large terrace area with a private swimming pool.There are two bedrooms, the second bedroom shares the guest bathroom with shower facilities, and the master bedroom benefits from a large ensuite bathroom equipped with a rain shower and stand-alone bath. The best unique selling point of this apartment is that it is one of the few apartments with a private terrace not overlooked by any other apartments.As a resident at the Five Hotel, you are able to use all of the hotel facilities and room service.To get more information or to book a viewing, get hold of us",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              3,100,000  AED
                                                                  ","4 Years
			","
			Apartment
		",TREO-S-18237,N/A,"2,798
						sqft
															 / 
										260
						sqm",Genuine | Rare Unit | Vacant | High ROI,"
                Apartment for Sale in FIVE at Jumeirah Village Circle, Jumeirah Village Circle              ",7117507974
